date,steps,distance,runDistance,calories
2023-01-01,3995,3219,162,150
2023-01-01,3995,3219,162,150
2023-01-02,3449,2638,231,120
2023-01-03,4064,3129,311,135
2023-01-04,6077,4700,376,217
2023-01-05,1531,1169,269,58
2023-01-06,1052,799,120,34
2023-01-07,3508,2871,72,134
2023-01-08,5628,4648,556,222
2023-01-09,2041,1554,203,68
2023-01-10,175,133,18,7
2023-01-11,2258,1716,123,76
2023-01-12,2999,2383,144,107
2023-01-13,1645,1260,98,51
2023-01-14,1929,1482,187,64
2023-01-15,942,716,96,32
2023-01-16,1424,1091,133,50
2023-01-17,979,751,58,32
2023-01-18,802,609,72,26
2023-01-19,3720,2966,208,135
2023-01-20,1405,1067,172,44
2023-01-21,1237,940,142,40
2023-01-22,942,716,127,32
2023-01-23,1227,935,180,43
2023-01-24,3104,2358,442,114
2023-01-25,3657,2806,369,114
2023-01-26,1190,904,133,42
2023-01-27,1023,777,146,38
2023-01-28,4058,3099,121,133
2023-01-29,1164,884,113,40
2023-01-30,1599,1220,205,56
2023-01-31,1807,1380,148,56
2023-02-01,1114,846,117,39
2023-02-02,44,33,11,3
2023-02-03,4317,3373,273,137
2023-02-04,1952,1483,132,62
2023-02-05,1360,1039,177,45
2023-02-06,2026,1539,155,68
2023-02-07,9351,7352,415,320
2023-02-08,6323,4972,520,227
2023-02-09,3064,2343,304,100
2023-02-10,9659,7949,335,355
2023-02-11,2065,1604,145,75
2023-02-12,1452,1103,140,53
2023-02-13,7575,6069,281,281
2023-02-14,9283,7720,588,359
2023-02-15,4597,3554,605,162
2023-02-16,10023,8106,646,375
2023-02-17,3045,2365,309,114
2023-02-18,4466,3582,262,155
2023-02-19,10261,8308,330,377
2023-02-20,4450,3672,269,173
2023-02-21,1450,1148,224,51
2023-02-22,669,508,111,28
2023-02-23,8693,7006,389,323
2023-02-24,5250,4195,265,191
2023-02-25,1877,1426,134,65
2023-02-26,6018,4737,301,216
2023-02-27,14028,11890,2224,675
2023-02-28,8438,7119,198,329
2023-03-01,12603,10401,290,469
2023-03-02,10906,9006,478,419
2023-03-03,7944,6381,282,289
2023-03-04,6799,5576,256,248
2023-03-05,1677,1274,187,58
2023-03-06,5625,4629,103,210
2023-03-07,7068,5689,250,248
2023-03-08,10356,8459,255,380
2023-03-09,6306,5103,374,233
2023-03-10,9149,7524,122,346
2023-03-11,2809,2209,187,102
2023-03-12,3972,3196,158,140
2023-03-13,13935,12163,3142,688
2023-03-14,8685,7203,127,332
2023-03-15,8960,7313,397,342
2023-03-16,8815,7123,463,329
2023-03-17,16710,13547,361,616
2023-03-18,5554,4412,287,194
2023-03-19,3225,2500,238,111
2023-03-20,7947,6566,260,297
2023-03-21,13484,11041,287,501
2023-03-22,9476,7604,318,331
2023-03-23,6626,5293,277,240
2023-03-24,8611,7012,256,317
2023-03-25,7152,5664,273,249
2023-03-26,4817,3927,209,179
2023-03-27,5437,4396,229,200
2023-03-28,1741,1323,188,59
2023-03-29,9643,7907,183,363
2023-03-30,6597,5661,249,264
2023-03-31,11645,9575,429,432
2023-04-01,4624,3749,375,167
2023-04-02,3582,2722,259,113
2023-04-03,11044,9353,192,432
2023-04-04,9629,8032,333,373
2023-04-05,10245,8436,256,390
2023-04-06,10565,8919,230,416
2023-04-07,12718,10610,324,482
2023-04-08,2400,1855,302,88
2023-04-09,4758,3826,302,176
2023-04-10,8555,7220,232,333
2023-04-11,1682,1287,161,57
2023-04-12,14192,11735,289,539
2023-04-13,10352,8289,829,378
2023-04-14,3735,3042,168,145
2023-04-15,4855,3727,386,164
2023-04-16,12948,10371,389,481
2023-04-17,1919,1458,173,61
2023-04-18,993,754,92,33
2023-04-19,1005,764,111,37
2023-04-20,2665,2029,163,85
2023-04-21,2925,2222,293,96
2023-04-22,2789,2183,179,96
2023-04-23,3718,2825,230,125
2023-04-24,7268,5735,470,272
