date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2023-01-01,38,200,0,2023-01-01 01:58:00+0000,2023-01-01 06:51:00+0000,55,"[{'start':'2022-01-08 00:41:38+0000','end':'2022-01-08 00:42:09+0000'}]"
2023-01-02,86,357,11,2023-01-01 23:56:00+0000,2023-01-02 08:55:00+0000,85,
2023-01-03,102,334,0,2023-01-03 01:22:00+0000,2023-01-03 09:56:00+0000,78,
2023-01-04,0,358,2,2023-01-04 00:58:00+0000,2023-01-04 08:39:00+0000,101,
2023-01-05,132,298,2,2023-01-04 23:27:00+0000,2023-01-05 08:25:00+0000,106,
2023-01-06,70,199,0,2023-01-05 21:47:00+0000,2023-01-06 02:57:00+0000,41,
2023-01-07,79,284,2,2023-01-06 22:56:00+0000,2023-01-07 06:41:00+0000,100,"[{'start':'2022-01-08 00:43:01+0000','end':'2022-01-08 00:43:26+0000'},{'start':'2022-01-08 00:43:27+0000','end':'2022-01-08 00:43:39+0000'},{'start':'2022-01-08 00:43:40+0000','end':'2022-01-08 00:44:46+0000'},{'start':'2022-01-08 00:44:47+0000','end':'2022-01-08 00:44:57+0000'},{'start':'2022-01-08 00:44:58+0000','end':'2022-01-08 00:45:15+0000'},{'start':'2022-01-08 00:45:16+0000','end':'2022-01-08 00:45:28+0000'},{'start':'2022-01-08 00:45:29+0000','end':'2022-01-08 00:46:43+0000'}]"
2023-01-08,94,279,0,2023-01-08 00:48:00+0000,2023-01-08 08:24:00+0000,83,
2023-01-09,122,318,40,2023-01-08 23:13:00+0000,2023-01-09 09:47:00+0000,154,
2023-01-10,20,132,0,2023-01-10 02:40:00+0000,2023-01-10 05:27:00+0000,15,
2023-01-11,108,324,3,2023-01-11 01:34:00+0000,2023-01-11 10:26:00+0000,97,
2023-01-12,120,282,1,2023-01-12 02:02:00+0000,2023-01-12 10:16:00+0000,91,
2023-01-13,81,337,0,2023-01-13 00:36:00+0000,2023-01-13 09:08:00+0000,94,
2023-01-14,35,303,1,2023-01-13 23:08:00+0000,2023-01-14 06:39:00+0000,112,
2023-01-15,147,453,0,2023-01-14 22:15:00+0000,2023-01-15 09:51:00+0000,96,
2023-01-16,86,340,0,2023-01-16 00:41:00+0000,2023-01-16 08:55:00+0000,68,
2023-01-17,48,487,0,2023-01-16 23:52:00+0000,2023-01-17 09:48:00+0000,61,
