2024-11-09 01:43:01,755 - matplotlib.pyplot - DEBUG - Loaded backend module://backend_interagg version unknown.
2024-11-09 01:43:01,786 - matplotlib.font_manager - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2024-11-09 01:43:01,787 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\oleg0\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-09 01:43:01,787 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\oleg0\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-11-09 01:43:01,791 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\oleg0\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-09 01:43:01,791 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\oleg0\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-09 01:43:01,791 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\oleg0\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-09 01:43:01,792 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\oleg0\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2024-11-09 01:43:01,792 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\oleg0\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-09 01:43:01,792 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\oleg0\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-11-09 01:43:01,793 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\oleg0\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-11-09 01:43:01,793 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\oleg0\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-11-09 01:43:01,793 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\oleg0\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
